uuid,id,type,title,content,assigneeName,assignee,aiState,status,source,sourceType,Notion URL,Affected Platforms,Precision2,Precision,Shortcut,Effort,Urgence,Impact,Timeline,JPD,insights,parentType,parentName,parentUrl,creator,createdAt,release,releaseDate,feedbackUrl,automationUrl,productAreas
e484bcb2-2602-498d-a3fe-b87edea5cdb0,3526,Feature,Test,,,,,Shipped,https://product.cycle.app/app/webflow/doc/RG9jX2U0ODRiY2IyLTI2MDItNDk4ZC1hM2ZlLWI4N2VkZWE1Y2RiMA==,CYCLE,,,,,,,,,,https://cycle-team-jyv0lhfx.atlassian.net/browse/SUP-2?atlOrigin=eyJpIjoiYzdhZjhhMDcyMzU1NDk5NDlhYmRiYWIxY2VhYTY1OTIiLCJwIjoiaiJ9,,,,,tibe@cycle.app,2025-06-12T12:27:51.891Z,,,,,
3ef66034-25e2-41f5-aa9e-7a4b8942d2ee,3510,Feature,Automated Accessibility Compliance Scan,,,,,To prioritize,https://product.cycle.app/app/webflow/doc/RG9jXzNlZjY2MDM0LTI1ZTItNDFmNS1hYTllLTdhNGI4OTQyZDJlZQ==,CYCLE,,,,,,,,,,,2,,,,john@webflow.com,2025-06-03T13:21:47.353Z,,,,,Website Performance & Optimization
ca1a6691-9c59-4e59-bd63-47ad8a4829f5,3489,Problem,Efficiency Improvement,,,,AI_CREATED,To do,https://product.cycle.app/app/webflow/doc/RG9jX2NhMWE2NjkxLTljNTktNGU1OS1iZDYzLTQ3YWQ4YTQ4MjlmNQ==,CYCLE,,,,,,,,,,,,,,,valentin.duprez@cycle.app,2025-05-26T17:16:05.257Z,,,,,Page Building
7494f359-e50f-482a-b6b0-de4582879289,3487,Problem,Pricing and AI Feature Delivery,,,,USER_VALIDATED,To do,https://product.cycle.app/app/webflow/doc/RG9jXzc0OTRmMzU5LWU1MGYtNDgyYS1iNmIwLWRlNDU4Mjg3OTI4OQ==,CYCLE,,,,,,,,,,,0,,,,valentin.duprez@cycle.app,2025-05-26T17:11:43.318Z,,,,,Designer Tools & Features
334f551e-1818-4309-b55a-0c9c0d94fca6,3480,Feature,AI integration V2,,,,,To prioritize,https://product.cycle.app/app/webflow/doc/RG9jXzMzNGY1NTFlLTE4MTgtNDMwOS1iNTVhLTBjOWMwZDk0ZmNhNg==,CYCLE,,,,Yes,,,,,,,1,,,,mehdi@cycle.app,2025-05-19T15:41:06.568Z,No release,,,,Designer Tools & Features
ad89a4da-a3d9-4c06-b7d6-bd7e0024dd24,3472,Problem,Live Preview Performance,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2FkODlhNGRhLWEzZDktNGMwNi1iN2Q2LWJkN2UwMDI0ZGQyNA==,CYCLE,,,,,,,,,,,1,,,,jeff@webflow.com,2025-05-15T08:25:26.744Z,,,,,Designer Tools & Features
6f327286-1136-4fe5-8c71-0c6ae9d64c14,3474,Feature,Page generation,,,,,Loop closed,https://product.cycle.app/app/webflow/doc/RG9jXzZmMzI3Mjg2LTExMzYtNGZlNS04YzcxLTBjNmFlOWQ2NGMxNA==,CYCLE,,,,,,,,,,,,,,,tibe@cycle.app,2025-05-15T20:48:40.130Z,No release,,,,
c9608078-19d2-43ce-9570-f8c7220184e4,3123,Feature,AI page generation,"<p class=""editor-paragraph""><mark data-mark-id=""linear-synced-content"" data-mark-type=""linear-synced-content"">Last sent to Linear on June 12, 2025 - 10:55 AM</mark></p><section data-type=""summary""><div><h1>A day in the life of a struggling customer</h1><p class=""editor-paragraph"">As the sun rises, Jenna M. starts her day with a cup of coffee, ready to tackle the tasks ahead. She is part of a small marketing team, and today, her main focus is on creating a new landing page for an upcoming product launch. The pressure is on, as the team is constantly bottlenecked by the number of landing pages they need to produce. Jenna opens Webflow, hoping to quickly spin up a page, but the process is slow and cumbersome. She finds herself spending hours manually designing layouts and crafting copy, wishing there was a more efficient way to get the job done. The frustration builds as she realizes that the time spent on these tasks could be better used for customer acquisition and strategic planning.</p><p class=""editor-paragraph"">As the day progresses, Jenna&apos;s stress levels rise. She juggles between meetings and the painstaking task of building content-heavy landing pages. The lack of an AI-powered tool to assist with layout and copy generation becomes increasingly apparent. Jenna imagines how much easier her day would be if she could simply input a product description or campaign goal and have an AI draft a full landing page. The thought of saving hours per campaign is tantalizing, yet the reality is far from it. As the evening approaches, Jenna feels drained and overwhelmed, knowing that tomorrow will bring the same challenges unless a solution is found. The need for an AI page generation feature in Webflow becomes more urgent with each passing day, as it promises to transform her workflow and alleviate the constant pressure she faces.Release Note: AI Page Generation</p><p class=""editor-paragraph"">Introducing a revolutionary leap in web design with Webflow&apos;s new <strong>AI Page Generation</strong> feature! Imagine crafting stunning, conversion-focused landing pages in mere minutes, without the usual bottlenecks of design and copy delays. This cutting-edge tool harnesses the power of AI to draft full landing pages based on your product descriptions or campaign goals, offering a seamless blend of layout and copy suggestions tailored to your needs. Embrace the future of web design and let AI accelerate your creative process. Start building smarter, faster, and more efficiently today!</p><p class=""editor-paragraph""><span style=""color: #727578"">Written on May 25 2025, 10:39 PM – based on 21 quotes</span></p></div></section><p class=""editor-paragraph"">Test test </p>",Brian Smith,brian.smith@webflow.com,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2M5NjA4MDc4LTE5ZDItNDNjZS05NTcwLWY4YzcyMjAxODRlNA==,CYCLE,,,,,,Difficult,Medium,,Later,https://cycle-team-jyv0lhfx.atlassian.net/jira/polaris/projects/MDP/ideas/view/6603824?selectedIssue=MDP-12,20,OKR,Empower users to build high-converting websites faster,https://product.cycle.app/app/webflow/doc/RG9jXzUyNjQwNmM2LWYyMDQtNDI4My1hYmIwLWE0MGRjYjVlNjhkZQ==,thibaut@cycle.app,2025-04-14T14:44:33.772Z,Better and Faster,Thu Jun 12 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,https://linear.app/webflow-integration/issue/WEB-12/ai-page-generation,Page Building
283e1ac8-74a6-41f4-b4a8-0f2a7e5fbf5a,3447,Feature,new feature to delete,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jXzI4M2UxYWM4LTc0YTYtNDFmNC1iNGE4LTBmMmE3ZTVmYmY1YQ==,CYCLE,,,,,,,,,,,0,,,,julien@cycle.app,2025-05-09T12:02:45.295Z,,,,https://linear.app/webflow-integration/project/new-feature-to-delete-15359a44ee12,
6711334b-3ac0-4e93-91d7-3716251808c0,3424,Problem,AI Design Impact on Retention,,,,USER_VALIDATED,To do,https://product.cycle.app/app/webflow/doc/RG9jXzY3MTEzMzRiLTNhYzAtNGU5My05MWQ3LTM3MTYyNTE4MDhjMA==,CYCLE,,,,,,,,,,,1,,,,alexander@cycle.app,2025-04-24T11:47:05.963Z,,,,,Designer Tools & Features
4d002644-1f2d-4d2e-855a-e1fbd23e71e2,3419,Feature,Duplicate Page Structures,,,,,Loop closed,https://product.cycle.app/app/webflow/doc/RG9jXzRkMDAyNjQ0LTFmMmQtNGQyZS04NTVhLWUxZmJkMjNlNzFlMg==,CYCLE,,,,,,,,,,,0,,,,alexander@cycle.app,2025-04-23T07:48:29.345Z,,,,,Content Management System (CMS)
30f40cfc-24c3-4bec-b4a6-62fb6dab0859,3292,Problem,Schema Builder Requirement,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jXzMwZjQwY2ZjLTI0YzMtNGJlYy1iNGE2LTYyZmI2ZGFiMDg1OQ==,CYCLE,,,,,,,,,,,0,,,,alexander@cycle.app,2025-04-18T11:21:41.801Z,,,,,Website Performance & Optimization
4ba7cf7e-5052-4bca-8594-fd8c918ad7f7,3292,Problem,Schema Builder Requirement,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jXzRiYTdjZjdlLTUwNTItNGJjYS04NTk0LWZkOGM5MThhZDdmNw==,CYCLE,,,,,,,,,,,,,,,alexander@cycle.app,2025-04-18T11:21:40.142Z,,,,,Website Performance & Optimization
fb1719c9-269d-46cd-be96-32a23362080b,3219,OKR,Boost site conversion and performance through advanced platform capabilities,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2ZiMTcxOWM5LTI2OWQtNDZjZC1iZTk2LTMyYTIzMzYyMDgwYg==,CYCLE,,,,,,,,,,,1,,,,alexander@cycle.app,2025-04-18T09:18:29.127Z,,,,,Code & Customization
f9a21169-4984-4469-bd32-01596ec7857d,3218,OKR,Scale a thriving integration and plugin ecosystem,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2Y5YTIxMTY5LTQ5ODQtNDQ2OS1iZDMyLTAxNTk2ZWM3ODU3ZA==,CYCLE,,,,,,,,,,,4,,,,alexander@cycle.app,2025-04-18T09:18:11.219Z,,,,,Designer Tools & Features
a6b09971-856b-49d1-b09b-5703c90c2c7f,3217,OKR,Deliver unparalleled customization flexibility for builders,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2E2YjA5OTcxLTg1NmItNDlkMS1iMDliLTU3MDNjOTBjMmM3Zg==,CYCLE,,,,,,,,,,,9,,,,alexander@cycle.app,2025-04-18T09:17:59.443Z,,,,,Code & Customization
1ad38906-9988-4a2b-8308-b16630337ac5,3215,Problem,Page Performance Optimization,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jXzFhZDM4OTA2LTk5ODgtNGEyYi04MzA4LWIxNjYzMDMzN2FjNQ==,CYCLE,,,,,,Difficult,,,,,,,,,alexander@cycle.app,2025-04-18T08:07:29.576Z,,,,,Website Performance & Optimization
bab97b91-37e7-44df-82db-d03a46c5e05f,3214,Kudo,Customizable Components and Widgets,,,,,To do,https://product.cycle.app/app/webflow/doc/RG9jX2JhYjk3YjkxLTM3ZTctNDRkZi04MmRiLWQwM2E0NmM1ZTA1Zg==,CYCLE,,,,,,,,,,,,,,,alexander@cycle.app,2025-04-18T08:07:14.742Z,,,,,Code & Customization
783d4b3a-de1b-43a6-b5f0-051e5735637d,3211,Problem,Enhance Data Accuracy,"<p class=""editor-paragraph""></p>",,,AI_CREATED,To do,https://product.cycle.app/app/webflow/doc/RG9jXzc4M2Q0YjNhLWRlMWItNDNhNi1iNWYwLTA1MWU1NzM1NjM3ZA==,CYCLE,,,,,,,,,,,1,,,,alexander@cycle.app,2025-04-17T16:57:20.322Z,,,,,Content Management System (CMS)
